Nome,Comandante,Cor,Custo,Tipo,Subtipo,Preco_USD,EDHREC_Rank,Deck
Fervor,0,R,3,Enchantment,N/A,5.72,2860,GuilhermeOS
Flare of Fortitude,0,W,4,Instant,N/A,2.87,1378,GuilhermeOS
Fleetfoot Panther,0,GW,3,Creature,Cat,0.34,11179,GuilhermeOS
Forest,0,G,0,Basic Land,Forest,N/A,N/A,GuilhermeOS
Gavony Township,0,GW,0,Land,N/A,3.06,706,GuilhermeOS
Goblin Bombardment,0,R,2,Enchantment,N/A,2.61,397,GuilhermeOS
"Growing Rites of Itlimoc // Itlimoc, Cradle of the Sun",0,G,3,Legendary Enchantment // Legendary Land,N/A,4.23,518,GuilhermeOS
Guardian Project,0,G,4,Enchantment,N/A,9.08,277,GuilhermeOS
Harmonize,0,G,4,Sorcery,N/A,0.21,268,GuilhermeOS
Heaven // Earth,0,GR,3,Instant // Sorcery,N/A,0.09,11426,GuilhermeOS
Helpful Hunter,0,W,2,Creature,Cat,0.14,4703,GuilhermeOS
Hungry Lynx,0,G,2,Creature,Cat,2.85,5367,GuilhermeOS
Impact Tremors,0,R,2,Enchantment,N/A,N/A,201,GuilhermeOS
"Jareth, Leonine Titan",0,W,6,Legendary Creature,Cat Giant,0.49,9191,GuilhermeOS
Jazal Goldmane,0,W,4,Legendary Creature,Cat Warrior,0.27,2751,GuilhermeOS
"Jetmir, Nexus of Revels",0,GRW,4,Legendary Creature,Cat Demon,10.19,1617,GuilhermeOS
"Jinnie Fay, Jetmir's Second",0,GRW,3,Legendary Creature,Elf Druid,0.61,3152,GuilhermeOS
Keeper of Fables,0,G,5,Creature,Cat,0.26,2425,GuilhermeOS
King of the Pride,0,W,3,Creature,Cat,0.35,3335,GuilhermeOS
"Kutzil, Malamet Exemplar",0,GW,3,Legendary Creature,Cat Warrior,0.74,536,GuilhermeOS
Kutzil's Flanker,0,W,3,Creature,Cat Warrior,0.27,8238,GuilhermeOS
Leonin Warleader,0,W,4,Creature,Cat Soldier,5.56,2566,GuilhermeOS
Lion Sash,0,W,2,Artifact Creature,Equipment Cat,2.42,1168,GuilhermeOS
"Marisi, Breaker of the Coil",0,GRW,4,Legendary Creature,Cat Warrior,N/A,3677,GuilhermeOS
Minas Tirith,0,W,0,Legendary Land,N/A,4.86,363,GuilhermeOS
"Mirri, Weatherlight Duelist",0,GW,3,Legendary Creature,Cat Warrior,4.04,2331,GuilhermeOS
Nacatl War-Pride,0,G,6,Creature,Cat Warrior,2.14,8348,GuilhermeOS
Nature's Lore,0,G,2,Sorcery,N/A,1.9,31,GuilhermeOS
Path of Ancestry,0,Incolor,0,Land,N/A,N/A,14,GuilhermeOS
Path to Exile,0,W,1,Instant,N/A,0.94,15,GuilhermeOS
Phantom Nishoba,0,GW,7,Creature,Cat Beast Spirit,0.22,11242,GuilhermeOS
Plains,0,W,0,Basic Land,Plains,N/A,N/A,GuilhermeOS
Prava of the Steel Legion,0,W,3,Legendary Creature,Cat Soldier,0.3,2531,GuilhermeOS
Pridemalkin,0,G,3,Creature,Cat,0.14,3512,GuilhermeOS
Prowling Felidar,0,W,4,Creature,Cat Beast,0.03,11978,GuilhermeOS
Qasali Pridemage,0,GW,2,Creature,Cat Wizard,0.19,3607,GuilhermeOS
Qasali Slingers,0,G,5,Creature,Cat Warrior,6.02,4588,GuilhermeOS
Rampant Growth,0,G,2,Sorcery,N/A,N/A,26,GuilhermeOS
Regal Caracal,0,W,5,Creature,Cat,1.55,2653,GuilhermeOS
Reliquary Tower,0,Incolor,0,Land,N/A,1.75,10,GuilhermeOS
Rising of the Day,0,R,3,Enchantment,N/A,0.57,612,GuilhermeOS
Rootborn Defenses,0,W,3,Instant,N/A,0.24,1064,GuilhermeOS
Rootbound Crag,0,GR,0,Land,N/A,2.78,169,GuilhermeOS
Sacred Cat,0,W,1,Creature,Cat,0.36,7169,GuilhermeOS
Scythecat Cub,0,G,2,Creature,Cat,25.91,7080,GuilhermeOS
Secluded Courtyard,0,Incolor,0,Land,N/A,0.2,212,GuilhermeOS
Seht's Tiger,0,W,4,Creature,Cat,0.4,10770,GuilhermeOS
Sejiri Shelter // Sejiri Glacier,0,W,2,Instant // Land,N/A,1.03,1000,GuilhermeOS
Shared Animosity,0,R,3,Enchantment,N/A,0.85,637,GuilhermeOS
Skyknight Squire,0,W,2,Creature,Cat Scout,0.75,8176,GuilhermeOS
Slate of Ancestry,0,Incolor,4,Artifact,N/A,1.07,8261,GuilhermeOS
Sol Ring,0,Incolor,1,Artifact,N/A,2.0,1,GuilhermeOS
Sovereign Okinec Ahau,0,GW,4,Legendary Creature,Cat Noble,2.82,2576,GuilhermeOS
Spirit of the Hearth,0,W,6,Creature,Cat Spirit,0.43,13287,GuilhermeOS
Stomping Ground,0,GR,0,Land,Mountain Forest,13.63,78,GuilhermeOS
Sundering Eruption // Volcanic Fissure,0,R,3,Sorcery // Land,N/A,0.89,1646,GuilhermeOS
Sunpetal Grove,0,GW,0,Land,N/A,N/A,182,GuilhermeOS
Sunspine Lynx,0,R,4,Creature,Elemental Cat,5.58,4530,GuilhermeOS
Sword of the Animist,0,Incolor,2,Legendary Artifact,Equipment,11.72,237,GuilhermeOS
Swords to Plowshares,0,W,1,Instant,N/A,1.25,11,GuilhermeOS
Temple Garden,0,GW,0,Land,Forest Plains,12.66,85,GuilhermeOS
Territorial Scythecat,0,G,3,Creature,Cat,0.12,6708,GuilhermeOS
Trove Warden,0,W,4,Creature,Cat Beast,0.35,8302,GuilhermeOS
Unclaimed Territory,0,Incolor,0,Land,N/A,0.24,192,GuilhermeOS
Verdant Catacombs,0,Incolor,0,Land,N/A,19.84,45,GuilhermeOS
Whitemane Lion,0,W,2,Creature,Cat,0.08,3091,GuilhermeOS
Windswept Heath,0,Incolor,0,Land,N/A,7.73,52,GuilhermeOS
Wooded Foothills,0,Incolor,0,Land,N/A,11.6,56,GuilhermeOS
"Talrand, Sky Summoner",1,U,4,Legendary Creature,Merfolk Wizard,0.29,599,Guimmck
Aetherize,0,U,4,Instant,N/A,0.37,417,Guimmck
"Alandra, Sky Dreamer",0,U,4,Legendary Creature,Merfolk Wizard,0.8,2203,Guimmck
Anticipate,0,U,2,Instant,N/A,0.06,5207,Guimmck
Augur of Bolas,0,U,2,Creature,Merfolk Wizard,0.12,9418,Guimmck
Benthic Biomancer,0,U,1,Creature,Merfolk Wizard Mutant,0.09,4791,Guimmck
Benthic Explorers,0,U,4,Creature,Merfolk Scout,N/A,24855,Guimmck
Beyeen Veil // Beyeen Coast,0,U,2,Instant // Land,N/A,0.14,9380,Guimmck
Brokers Hideout,0,Incolor,0,Land,N/A,0.42,1100,Guimmck
Cache Raiders,0,U,5,Creature,Merfolk Rogue,0.17,23856,Guimmck
Candlekeep Inspiration,0,U,5,Sorcery,N/A,0.06,8143,Guimmck
Chart a Course,0,U,2,Sorcery,N/A,0.24,1817,Guimmck
Counterspell,0,U,2,Instant,N/A,2.17,19,Guimmck
Deepchannel Mentor,0,U,6,Creature,Merfolk Rogue,7.6,9060,Guimmck
Deeproot Pilgrimage,0,U,2,Enchantment,N/A,0.63,4673,Guimmck
Desert of the Mindful,0,U,0,Land,Desert,0.08,3172,Guimmck
Dream Fracture,0,U,3,Instant,N/A,0.1,3445,Guimmck
Emperor Mihail II,0,U,3,Legendary Creature,Merfolk Noble,0.09,3633,Guimmck
Empress Galina,0,U,5,Legendary Creature,Merfolk Noble,8.07,7908,Guimmck
Energy Tap,0,U,1,Sorcery,N/A,0.32,8341,Guimmck
Escape Tunnel,0,Incolor,0,Land,N/A,0.11,1561,Guimmck
Evacuation,0,U,5,Instant,N/A,0.15,1663,Guimmck
Evolving Wilds,0,Incolor,0,Land,N/A,0.7,17,Guimmck
Fabled Passage,0,Incolor,0,Land,N/A,5.35,72,Guimmck
Fact or Fiction,0,U,4,Instant,N/A,0.15,411,Guimmck
Forensic Researcher,0,U,3,Creature,Merfolk Detective,0.09,9217,Guimmck
Frantic Search,0,U,3,Instant,N/A,N/A,132,Guimmck
High Tide,0,U,1,Instant,N/A,0.58,765,Guimmck
Impulse,0,U,2,Instant,N/A,0.09,2036,Guimmck
Ingenious Mastery,0,U,3,Sorcery,N/A,0.1,9503,Guimmck
Irenicus's Vile Duplication,0,U,4,Sorcery,N/A,3.02,922,Guimmck
Island,0,U,0,Basic Land,Island,N/A,N/A,Guimmck
"Jace, Wielder of Mysteries",0,U,4,Legendary Planeswalker,Jace,8.64,877,Guimmck
Jwari Disruption // Jwari Ruins,0,U,2,Instant // Land,N/A,0.41,2718,Guimmck
"Kiora, the Rising Tide",0,U,3,Legendary Creature,Merfolk Noble,2.25,5555,Guimmck
Leadership Vacuum,0,U,3,Instant,N/A,0.31,6793,Guimmck
Library Larcenist,0,U,3,Creature,Merfolk Rogue,0.03,13859,Guimmck
Lonely Sandbar,0,U,0,Land,N/A,0.1,907,Guimmck
Long-Term Plans,0,U,3,Instant,N/A,6.15,4422,Guimmck
Mana Drain,0,U,2,Instant,N/A,41.97,107,Guimmck
Master of Waves,0,U,4,Creature,Merfolk Wizard,N/A,6883,Guimmck
Merfolk Falconer,0,U,5,Creature,Merfolk Wizard,0.1,23363,Guimmck
Merfolk Looter,0,U,2,Creature,Merfolk Rogue,0.21,3990,Guimmck
Merfolk Skyscout,0,U,4,Creature,Merfolk Scout,0.14,20864,Guimmck
Merfolk Traders,0,U,2,Creature,Merfolk,0.18,23978,Guimmck
Merrow Reejerey,0,U,3,Creature,Merfolk Soldier,0.09,3473,Guimmck
Mindspring Merfolk,0,U,1,Creature,Merfolk Wizard,0.44,16491,Guimmck
Mist Dancer,0,U,5,Creature,Merfolk Wizard,0.1,5068,Guimmck
Mitotic Manipulation,0,U,3,Sorcery,N/A,0.33,14191,Guimmck
Negate,0,U,2,Instant,N/A,N/A,46,Guimmck
Ponder,0,U,1,Sorcery,N/A,N/A,141,Guimmck
Preordain,0,U,1,Sorcery,N/A,N/A,190,Guimmck
Reality Shift,0,U,2,Instant,N/A,N/A,242,Guimmck
Remote Isle,0,U,0,Land,N/A,0.12,3507,Guimmck
Riverwise Augur,0,U,4,Creature,Merfolk Wizard,0.1,12923,Guimmck
Sage of the Falls,0,U,5,Creature,Merfolk Wizard,0.06,11488,Guimmck
Salvager of Secrets,0,U,5,Creature,Merfolk Wizard,0.12,12275,Guimmck
Sea Gate Loremaster,0,U,5,Creature,Merfolk Wizard Ally,0.71,10432,Guimmck
Sea Scryer,0,U,2,Creature,Merfolk Wizard,0.3,12810,Guimmck
Seafloor Oracle,0,U,4,Creature,Merfolk Wizard,0.12,3867,Guimmck
Serum Visions,0,U,1,Sorcery,N/A,0.89,681,Guimmck
Shipwreck Dowser,0,U,5,Creature,Merfolk Wizard,0.08,8004,Guimmck
Silundi Vision // Silundi Isle,0,U,3,Instant // Land,N/A,0.33,2015,Guimmck
Silver Scrutiny,0,U,2,Sorcery,N/A,0.21,6873,Guimmck
Silvergill Adept,0,U,2,Creature,Merfolk Wizard,0.23,9895,Guimmck
Solve the Equation,0,U,3,Sorcery,N/A,2.88,703,Guimmck
Stonybrook Banneret,0,U,2,Creature,Merfolk Wizard,0.13,2577,Guimmck
Svyelun of Sea and Sky,0,U,3,Legendary Creature,Merfolk God,0.18,3364,Guimmck
Tempest Caller,0,U,4,Creature,Merfolk Wizard,0.23,7251,Guimmck
Terramorphic Expanse,0,Incolor,0,Land,N/A,1.0,28,Guimmck
"Thada Adel, Acquisitor",0,U,3,Legendary Creature,Merfolk Rogue,10.48,4230,Guimmck
Thieving Skydiver,0,U,2,Creature,Merfolk Rogue,0.18,1622,Guimmck
Tidal Courier,0,U,4,Creature,Merfolk,0.17,18589,Guimmck
Umara Wizard // Umara Skyfalls,0,U,5,Creature,Merfolk Wizard // Land,0.07,13318,Guimmck
Vodalian Arcanist,0,U,2,Creature,Merfolk Wizard,0.02,14852,Guimmck
Vodalian Illusionist,0,U,3,Creature,Merfolk Wizard,0.32,14871,Guimmck
Volshe Tideturner,0,U,2,Creature,Merfolk Wizard,0.04,12074,Guimmck
Waterfront Bouncer,0,U,2,Creature,Merfolk Spellshaper,N/A,15721,Guimmck
Windrider Patrol,0,U,5,Creature,Merfolk Wizard,0.04,20431,Guimmck
Wizard Class,0,U,1,Enchantment,Class,1.9,671,Guimmck
"Yennett, Cryptic Sovereign",1,BUW,5,Legendary Creature,Sphinx,0.19,9159,GustavoLod
Aetherize,0,U,4,Instant,N/A,0.37,417,GustavoLod
Aetherspouts,0,U,5,Instant,N/A,0.42,2370,GustavoLod
Arcane Signet,0,Incolor,2,Artifact,N/A,1.0,3,GustavoLod
Argent Sphinx,0,U,4,Creature,Sphinx,0.34,15020,GustavoLod
"Azor, the Lawbringer",0,UW,6,Legendary Creature,Sphinx,2.19,10922,GustavoLod
Azorius Signet,0,UW,2,Artifact,N/A,N/A,160,GustavoLod
Bident of Thassa,0,U,4,Legendary Enchantment Artifact,N/A,0.42,364,GustavoLod
Charcoal Diamond,0,B,2,Artifact,N/A,0.21,532,GustavoLod
Cloudreader Sphinx,0,U,5,Creature,Sphinx,0.02,19907,GustavoLod
Command Tower,0,Incolor,0,Land,N/A,1.0,2,GustavoLod
Concealed Courtyard,0,BW,0,Land,N/A,2.15,1191,GustavoLod
Conundrum Sphinx,0,U,4,Creature,Sphinx,0.16,14328,GustavoLod
Curator of Mysteries,0,U,4,Creature,Sphinx,0.23,6337,GustavoLod
Dazzling Sphinx,0,U,5,Creature,Sphinx,0.2,4921,GustavoLod
Decanter of Endless Water,0,Incolor,3,Artifact,N/A,2.17,228,GustavoLod
Defiler of Dreams,0,U,5,Creature,Phyrexian Sphinx,0.32,3327,GustavoLod
Dimir Signet,0,BU,2,Artifact,N/A,0.59,109,GustavoLod
Dream Eater,0,U,6,Creature,Nightmare Sphinx,0.14,7509,GustavoLod
Dream Trawler,0,UW,6,Creature,Sphinx,0.25,5395,GustavoLod
Enigma Sphinx,0,BUW,7,Artifact Creature,Sphinx,0.22,11119,GustavoLod
Fell the Profane // Fell Mire,0,B,4,Instant // Land,N/A,2.9,559,GustavoLod
Fetid Pools,0,BU,0,Land,Island Swamp,N/A,955,GustavoLod
Fracture,0,BW,2,Instant,N/A,2.01,1045,GustavoLod
Glyph Keeper,0,U,5,Creature,Sphinx,0.14,16778,GustavoLod
Go for the Throat,0,B,2,Instant,N/A,1.18,322,GustavoLod
Goldmire Bridge,0,BW,0,Artifact Land,N/A,0.19,1544,GustavoLod
Guardian of Tazeem,0,U,5,Creature,Sphinx,0.17,10635,GustavoLod
Hagra Mauling // Hagra Broodpit,0,B,4,Instant // Land,N/A,0.92,1674,GustavoLod
Irrigated Farmland,0,UW,0,Land,Plains Island,N/A,807,GustavoLod
Island,0,U,0,Basic Land,Island,N/A,N/A,GustavoLod
Isperia the Inscrutable,0,UW,5,Legendary Creature,Sphinx,0.29,17024,GustavoLod
"Isperia, Supreme Judge",0,UW,6,Legendary Creature,Sphinx,0.27,8163,GustavoLod
Jelenn Sphinx,0,UW,5,Creature,Sphinx,0.04,20498,GustavoLod
Jwar Isle Avenger,0,U,5,Creature,Sphinx,0.02,21742,GustavoLod
Lightning Greaves,0,Incolor,2,Artifact,Equipment,N/A,13,GustavoLod
Magister Sphinx,0,BUW,7,Artifact Creature,Sphinx,0.67,7241,GustavoLod
Make a Stand,0,W,3,Instant,N/A,N/A,2842,GustavoLod
Marauding Sphinx,0,U,5,Creature,Sphinx Rogue,0.04,16876,GustavoLod
Marble Diamond,0,W,2,Artifact,N/A,0.18,809,GustavoLod
Master of Predicaments,0,U,5,Creature,Sphinx,0.3,10215,GustavoLod
Master of Winds,0,U,4,Creature,Sphinx Wizard,0.11,16693,GustavoLod
Military Intelligence,0,U,2,Enchantment,N/A,0.2,4957,GustavoLod
Mind Stone,0,Incolor,2,Artifact,N/A,0.21,24,GustavoLod
Mistvault Bridge,0,BU,0,Artifact Land,N/A,0.39,1498,GustavoLod
Mortify,0,BW,3,Instant,N/A,0.26,506,GustavoLod
Ominous Sphinx,0,U,5,Creature,Sphinx,0.06,24645,GustavoLod
Orzhov Signet,0,BW,2,Artifact,N/A,N/A,139,GustavoLod
Path of Ancestry,0,Incolor,0,Land,N/A,N/A,14,GustavoLod
Plains,0,W,0,Basic Land,Plains,N/A,N/A,GustavoLod
Prairie Stream,0,UW,0,Land,Plains Island,N/A,103,GustavoLod
Prognostic Sphinx,0,U,5,Creature,Sphinx,0.09,8045,GustavoLod
"Raffine, Scheming Seer",0,BUW,3,Legendary Creature,Sphinx Demon,7.02,4345,GustavoLod
Razortide Bridge,0,UW,0,Artifact Land,N/A,0.26,1013,GustavoLod
Reconnaissance Mission,0,U,4,Enchantment,N/A,1.33,615,GustavoLod
Reliquary Tower,0,Incolor,0,Land,N/A,1.75,10,GustavoLod
Rescuer Sphinx,0,U,4,Creature,Sphinx,0.1,19158,GustavoLod
Scholar of the Lost Trove,0,U,7,Creature,Sphinx,0.24,8964,GustavoLod
Secluded Courtyard,0,Incolor,0,Land,N/A,0.2,212,GustavoLod
Sejiri Shelter // Sejiri Glacier,0,W,2,Instant // Land,N/A,1.03,1000,GustavoLod
Serra Sphinx,0,U,5,Creature,Sphinx,0.05,22773,GustavoLod
Serum Sovereign,0,U,5,Creature,Phyrexian Sphinx,0.16,9165,GustavoLod
Sky Diamond,0,U,2,Artifact,N/A,0.24,594,GustavoLod
Sol Ring,0,Incolor,1,Artifact,N/A,2.0,1,GustavoLod
Sphinx of Clear Skies,0,U,5,Creature,Sphinx,0.2,12430,GustavoLod
Sphinx of Foresight,0,U,4,Creature,Sphinx,0.24,8894,GustavoLod
Sphinx of Forgotten Lore,0,U,4,Creature,Sphinx,0.81,12318,GustavoLod
Sphinx of Lost Truths,0,U,5,Creature,Sphinx,0.24,15944,GustavoLod
Sphinx of New Prahv,0,UW,4,Creature,Sphinx,0.02,21464,GustavoLod
Sphinx of the Final Word,0,U,7,Creature,Sphinx,0.2,9732,GustavoLod
Sphinx of the Revelation,0,UW,5,Artifact Creature,Sphinx,0.55,6925,GustavoLod
Sphinx Summoner,0,BU,5,Artifact Creature,Sphinx,0.16,11951,GustavoLod
Stoic Sphinx,0,U,4,Creature,Sphinx,0.11,19265,GustavoLod
Sunken Hollow,0,BU,0,Land,Island Swamp,N/A,82,GustavoLod
Swamp,0,B,0,Basic Land,Swamp,N/A,N/A,GustavoLod
Swiftfoot Boots,0,Incolor,2,Artifact,Equipment,N/A,12,GustavoLod
Swords to Plowshares,0,W,1,Instant,N/A,1.25,11,GustavoLod
Temple of Deceit,0,BU,0,Land,N/A,0.23,260,GustavoLod
Temple of Enlightenment,0,UW,0,Land,N/A,N/A,295,GustavoLod
Temple of Silence,0,BW,0,Land,N/A,N/A,258,GustavoLod
Thought Vessel,0,Incolor,2,Artifact,N/A,1.6,23,GustavoLod
Unbreakable Formation,0,W,3,Instant,N/A,2.03,376,GustavoLod
Unclaimed Territory,0,Incolor,0,Land,N/A,0.24,192,GustavoLod
"Unesh, Criosphinx Sovereign",0,U,6,Legendary Creature,Sphinx,0.88,9296,GustavoLod
Vindicate,0,BW,3,Sorcery,N/A,1.49,1135,GustavoLod
Windreader Sphinx,0,U,7,Creature,Sphinx,0.18,5671,GustavoLod
Witness of Tomorrows,0,U,5,Enchantment Creature,Sphinx,0.02,22774,GustavoLod
Ezio Auditore da Firenze,1,BGRUW,2,Legendary Creature,Human Assassin,6.65,7055,GutoGarcia
Achilles Davenport,0,BU,4,Legendary Creature,Human Assassin,3.03,6977,GutoGarcia
Altaïr Ibn-La'Ahad,0,BRW,3,Legendary Creature,Human Assassin,3.81,6662,GutoGarcia
Arid Mesa,0,Incolor,0,Land,N/A,21.85,55,GutoGarcia
Arno Dorian,0,BR,4,Legendary Creature,Human Assassin,0.05,6243,GutoGarcia
Aven Heartstabber,0,BU,2,Creature,Bird Assassin,0.21,10169,GutoGarcia
Aya of Alexandria,0,RW,4,Legendary Creature,Human Assassin,0.52,5834,GutoGarcia
Basim Ibn Ishaq,0,BU,2,Legendary Creature,Human Assassin,3.21,4434,GutoGarcia
Bayek of Siwa,0,RW,5,Legendary Creature,Human Assassin,0.97,4869,GutoGarcia
Bident of Thassa,0,U,4,Legendary Enchantment Artifact,N/A,0.42,364,GutoGarcia
Big Game Hunter,0,B,3,Creature,Human Rebel Assassin,0.31,3151,GutoGarcia
Black Market Connections,0,B,3,Enchantment,N/A,11.91,162,GutoGarcia
Blood Crypt,0,BR,0,Land,Swamp Mountain,17.13,84,GutoGarcia
Bloodstained Mire,0,Incolor,0,Land,N/A,10.47,53,GutoGarcia
Bojuka Bog,0,B,0,Land,N/A,N/A,30,GutoGarcia
Brainstorm,0,U,1,Instant,N/A,1.54,60,GutoGarcia
Brotherhood Headquarters,0,Incolor,0,Land,N/A,0.14,5708,GutoGarcia
Brotherhood Regalia,0,Incolor,2,Artifact,Equipment,7.55,1142,GutoGarcia
Call of the Ring,0,B,2,Enchantment,N/A,2.64,999,GutoGarcia
Command Tower,0,Incolor,0,Land,N/A,1.0,2,GutoGarcia
Cover of Darkness,0,B,2,Enchantment,N/A,14.55,1860,GutoGarcia
Demolition Field,0,Incolor,0,Land,N/A,0.84,449,GutoGarcia
Desmond Miles,0,B,2,Legendary Creature,Human Assassin,1.02,5530,GutoGarcia
Eagle Vision,0,U,5,Sorcery,N/A,0.16,4976,GutoGarcia
Edward Kenway,0,BRU,5,Legendary Creature,Human Assassin Pirate,11.81,5851,GutoGarcia
"Eivor, Wolf-Kissed",0,GRW,6,Legendary Creature,Human Assassin Warrior,1.58,10415,GutoGarcia
"Etrata, the Silencer",0,BU,4,Legendary Creature,Vampire Assassin,1.05,5625,GutoGarcia
Evie Frye,0,U,2,Legendary Creature,Human Assassin,0.36,7145,GutoGarcia
Exotic Orchard,0,Incolor,0,Land,N/A,N/A,9,GutoGarcia
"Ezio, Blade of Vengeance",0,BU,5,Legendary Creature,Human Assassin,N/A,6122,GutoGarcia
Farewell,0,W,6,Sorcery,N/A,5.12,147,GutoGarcia
Farseek,0,G,2,Sorcery,N/A,1.0,27,GutoGarcia
Flooded Strand,0,Incolor,0,Land,N/A,11.14,51,GutoGarcia
Forest,0,G,0,Basic Land,Forest,N/A,N/A,GutoGarcia
Godless Shrine,0,BW,0,Land,Plains Swamp,15.7,68,GutoGarcia
Hagra Mauling // Hagra Broodpit,0,B,4,Instant // Land,N/A,0.92,1674,GutoGarcia
Hookblade Veteran,0,U,1,Creature,Human Assassin,0.17,11760,GutoGarcia
Island,0,U,0,Basic Land,Island,N/A,N/A,GutoGarcia
Jacob Frye,0,B,3,Legendary Creature,Human Assassin,0.31,7846,GutoGarcia
"Kelsien, the Plague",0,BRW,3,Legendary Creature,Human Assassin,1.27,6993,GutoGarcia
Layla Hassan,0,W,4,Legendary Creature,Human Assassin,0.34,6631,GutoGarcia
Lightning Greaves,0,Incolor,2,Artifact,Equipment,N/A,13,GutoGarcia
Lórien Revealed,0,U,5,Sorcery,N/A,2.32,1201,GutoGarcia
Lydia Frye,0,BU,3,Legendary Creature,Human Assassin,0.06,7122,GutoGarcia
"Mari, the Killing Quill",0,B,3,Legendary Creature,Vampire Assassin,2.73,2174,GutoGarcia
Marsh Flats,0,Incolor,0,Land,N/A,21.82,47,GutoGarcia
Mary Read and Anne Bonny,0,RU,3,Legendary Creature,Human Assassin Pirate,2.87,6269,GutoGarcia
Mountain,0,R,0,Basic Land,Mountain,N/A,N/A,GutoGarcia
Nekrataal,0,B,4,Creature,Human Assassin,0.19,8565,GutoGarcia
"Olivia, Opulent Outlaw",0,BRW,4,Legendary Creature,Vampire Assassin,3.02,4862,GutoGarcia
Overgrown Tomb,0,BG,0,Land,Swamp Forest,12.46,79,GutoGarcia
Overpowering Attack,0,R,5,Sorcery,N/A,0.96,2625,GutoGarcia
Overwhelming Stampede,0,G,5,Sorcery,N/A,1.99,476,GutoGarcia
Path of Ancestry,0,Incolor,0,Land,N/A,N/A,14,GutoGarcia
Plains,0,W,0,Basic Land,Plains,N/A,N/A,GutoGarcia
Polluted Delta,0,Incolor,0,Land,N/A,13.84,42,GutoGarcia
Ponder,0,U,1,Sorcery,N/A,N/A,141,GutoGarcia
Queen Marchesa,0,BRW,4,Legendary Creature,Human Assassin,0.34,2262,GutoGarcia
Raffine's Tower,0,BUW,0,Land,Plains Island Swamp,12.71,368,GutoGarcia
"Ramses, Assassin Lord",0,BU,4,Legendary Creature,Human Assassin,3.48,5045,GutoGarcia
Ratonhnhaké꞉ton,0,BUW,3,Legendary Creature,Human Assassin,0.27,8298,GutoGarcia
Ravenloft Adventurer,0,B,4,Creature,Human Rogue Assassin,0.2,4064,GutoGarcia
Razorkin Needlehead,0,R,2,Creature,Human Assassin,3.46,1983,GutoGarcia
Reflecting Pool,0,Incolor,0,Land,N/A,7.48,173,GutoGarcia
Revitalizing Repast // Old-Growth Grove,0,BG,1,Instant // Land,N/A,0.9,1494,GutoGarcia
Rooftop Bypass,0,BU,3,Enchantment,N/A,3.62,7195,GutoGarcia
Royal Assassin,0,B,3,Creature,Human Assassin,0.49,2098,GutoGarcia
Ruinous Ultimatum,0,BRW,7,Sorcery,N/A,3.93,705,GutoGarcia
Ruthless Lawbringer,0,BW,3,Creature,Vampire Assassin,0.22,5102,GutoGarcia
Savai Triome,0,BRW,0,Land,Mountain Plains Swamp,18.18,447,GutoGarcia
Scalding Tarn,0,Incolor,0,Land,N/A,22.17,49,GutoGarcia
Scarblade Elite,0,B,2,Creature,Elf Assassin,4.99,12928,GutoGarcia
Secluded Courtyard,0,Incolor,0,Land,N/A,0.2,212,GutoGarcia
Shao Jun,0,RU,3,Legendary Creature,Human Assassin,0.07,8193,GutoGarcia
Shared Animosity,0,R,3,Enchantment,N/A,0.85,637,GutoGarcia
Sol Ring,0,Incolor,1,Artifact,N/A,2.0,1,GutoGarcia
Sundering Eruption // Volcanic Fissure,0,R,3,Sorcery // Land,N/A,0.89,1646,GutoGarcia
Swamp,0,B,0,Basic Land,Swamp,N/A,N/A,GutoGarcia
Sword of Feast and Famine,0,Incolor,3,Artifact,Equipment,25.8,595,GutoGarcia
Tainted Isle,0,BU,0,Land,N/A,0.3,457,GutoGarcia
Teferi's Protection,0,W,3,Instant,N/A,53.3,76,GutoGarcia
The Lord of Pain,0,BR,5,Legendary Creature,Human Assassin,8.29,3767,GutoGarcia
Thorn of the Black Rose,0,B,4,Creature,Human Assassin,0.14,6837,GutoGarcia
Thraximundar,0,BRU,7,Legendary Creature,Zombie Assassin,2.08,7670,GutoGarcia
Trailblazer's Boots,0,Incolor,2,Artifact,Equipment,2.64,804,GutoGarcia
Unclaimed Territory,0,Incolor,0,Land,N/A,0.24,192,GutoGarcia
Unscrupulous Contractor,0,B,3,Creature,Human Assassin,0.07,11306,GutoGarcia
Verdant Catacombs,0,Incolor,0,Land,N/A,19.84,45,GutoGarcia
Viewpoint Synchronization,0,G,5,Sorcery,N/A,0.22,5859,GutoGarcia
"Vihaan, Goldwaker",0,BRW,3,Legendary Creature,Dwarf Warlock,N/A,6005,GutoGarcia
Vorpal Sword,0,B,1,Artifact,Equipment,2.24,2324,GutoGarcia
Vraska Joins Up,0,BG,2,Legendary Enchantment,N/A,0.69,3347,GutoGarcia
"Vraska, the Silencer",0,BG,3,Legendary Creature,Gorgon Assassin,1.64,5977,GutoGarcia
Watery Grave,0,BU,0,Land,Island Swamp,15.99,58,GutoGarcia
Windswept Heath,0,Incolor,0,Land,N/A,7.73,52,GutoGarcia
Wooded Foothills,0,Incolor,0,Land,N/A,11.6,56,GutoGarcia
Xander's Lounge,0,BRU,0,Land,Island Swamp Mountain,10.24,406,GutoGarcia
"Xira, the Golden Sting",0,BGR,4,Legendary Creature,Insect Assassin,0.24,11115,GutoGarcia
